Epoch,Train Loss,Train Acc (%),Val Loss,Val Acc (%),LR
1,1.6042,34.12,1.4812,40.99,1.00e-03
2,1.4535,42.72,1.3977,46.01,9.99e-04
3,1.4040,45.32,1.3562,45.75,9.98e-04
4,1.3808,46.38,1.3577,47.05,9.96e-04
5,1.3504,46.32,1.3324,46.97,9.94e-04
6,1.3320,48.22,1.3203,46.79,9.91e-04
7,1.3155,48.74,1.3173,48.87,9.88e-04
8,1.3040,48.77,1.2995,49.83,9.84e-04
9,1.2916,50.11,1.2713,51.39,9.80e-04
10,1.2757,50.89,1.3001,50.00,9.76e-04
11,1.2822,51.10,1.2889,51.65,9.70e-04
12,1.2664,51.75,1.2644,51.91,9.65e-04
13,1.2684,51.52,1.2690,52.69,9.59e-04
14,1.2559,52.45,1.2898,49.31,9.52e-04
15,1.2513,52.71,1.2568,52.43,9.46e-04
16,1.2508,52.73,1.2615,52.95,9.38e-04
17,1.2441,53.01,1.2505,53.21,9.30e-04
18,1.2334,53.16,1.2499,52.17,9.22e-04
19,1.2310,54.03,1.2486,52.60,9.14e-04
20,1.2237,54.40,1.2548,52.60,9.05e-04
21,1.2288,54.03,1.2597,52.17,8.95e-04
22,1.2128,54.29,1.2407,52.69,8.85e-04
23,1.2073,55.35,1.2421,53.03,8.75e-04
24,1.2073,55.18,1.2468,52.08,8.65e-04
25,1.1997,56.11,1.2701,51.47,8.54e-04
26,1.1955,55.35,1.2502,53.03,8.42e-04
27,1.1868,56.52,1.2271,52.77,8.31e-04
28,1.1675,57.26,1.2241,53.38,8.19e-04
29,1.1624,58.08,1.2362,52.08,8.07e-04
30,1.1740,57.19,1.2167,53.21,7.94e-04
31,1.1431,58.86,1.2109,54.77,7.81e-04
32,1.1373,58.73,1.2030,55.63,7.68e-04
33,1.1222,60.40,1.1962,54.77,7.55e-04
34,1.1091,60.88,1.2071,55.03,7.41e-04
35,1.1098,61.11,1.1856,54.85,7.27e-04
36,1.0786,62.41,1.1801,56.15,7.13e-04
37,1.0583,64.71,1.1961,55.37,6.99e-04
38,1.0621,64.02,1.1755,55.20,6.84e-04
39,1.0364,64.97,1.1836,55.46,6.70e-04
40,1.0299,65.51,1.1692,57.97,6.55e-04
41,1.0094,66.98,1.1977,56.85,6.40e-04
42,0.9894,68.18,1.1488,60.31,6.25e-04
43,0.9649,69.45,1.1459,60.40,6.09e-04
44,0.9492,70.69,1.1491,58.58,5.94e-04
45,0.9339,71.06,1.1452,58.84,5.79e-04
46,0.9136,72.38,1.1032,62.65,5.63e-04
47,0.8980,72.55,1.1409,60.23,5.48e-04
48,0.8841,74.22,1.1315,59.71,5.32e-04
49,0.8680,75.32,1.1199,61.44,5.16e-04
50,0.8638,74.52,1.1311,60.83,5.01e-04
51,0.8470,76.78,1.1292,61.09,4.85e-04
52,0.8414,76.34,1.0992,61.18,4.69e-04
53,0.8254,76.86,1.1132,61.09,4.53e-04
54,0.8148,78.36,1.0875,61.79,4.38e-04
55,0.8045,77.34,1.0892,62.22,4.22e-04
56,0.7947,79.16,1.1086,61.18,4.07e-04
57,0.7868,78.92,1.1110,61.53,3.92e-04
58,0.7856,79.12,1.1138,60.83,3.76e-04
59,0.7710,80.68,1.1116,60.23,3.61e-04
60,0.7651,80.05,1.1116,61.18,3.46e-04
61,0.7648,80.26,1.1178,60.66,3.31e-04
62,0.7487,80.83,1.1339,61.27,3.17e-04
63,0.7524,80.83,1.1126,61.44,3.02e-04
64,0.7522,80.68,1.1258,60.66,2.88e-04
65,0.7438,81.87,1.1403,60.49,2.74e-04
66,0.7365,81.98,1.1183,60.66,2.60e-04
67,0.7339,81.98,1.1525,59.97,2.46e-04
68,0.7217,82.89,1.1535,61.27,2.33e-04
69,0.7228,82.76,1.1460,59.79,2.20e-04
70,0.7198,82.76,1.1607,60.49,2.07e-04
71,0.7143,82.65,1.1599,60.92,1.94e-04
72,0.7132,82.82,1.1700,59.79,1.82e-04
73,0.7074,84.10,1.1746,60.49,1.70e-04
74,0.7068,83.12,1.1743,60.40,1.59e-04
75,0.7024,83.19,1.1995,60.05,1.47e-04
76,0.6962,83.28,1.2082,60.05,1.36e-04
77,0.7008,83.17,1.2078,59.01,1.26e-04
78,0.6960,83.17,1.2031,59.97,1.16e-04
79,0.6964,83.19,1.1934,59.62,1.06e-04
80,0.6878,84.08,1.2185,60.49,9.64e-05
81,0.6846,83.86,1.2127,60.23,8.74e-05
82,0.6865,83.80,1.2242,59.45,7.88e-05
83,0.6830,84.36,1.2236,59.27,7.06e-05
84,0.6880,83.62,1.2057,59.88,6.28e-05
85,0.6807,84.25,1.2084,60.92,5.54e-05
86,0.6795,84.19,1.2291,59.71,4.85e-05
87,0.6804,84.49,1.2284,60.14,4.21e-05
88,0.6773,84.99,1.2358,60.14,3.61e-05
89,0.6755,84.79,1.2440,60.23,3.05e-05
90,0.6739,84.79,1.2394,60.05,2.54e-05
91,0.6710,84.55,1.2478,60.05,2.08e-05
92,0.6748,84.25,1.2452,60.23,1.67e-05
93,0.6739,84.92,1.2451,60.31,1.30e-05
94,0.6742,85.57,1.2492,59.62,9.85e-06
95,0.6726,84.86,1.2514,59.71,7.15e-06
96,0.6712,85.03,1.2486,60.14,4.94e-06
97,0.6776,84.75,1.2510,60.23,3.22e-06
98,0.6732,84.75,1.2509,60.23,1.99e-06
99,0.6706,84.81,1.2481,60.14,1.25e-06
100,0.6678,85.07,1.2501,60.14,1.00e-06
